age_Group,year,population
90-94,2035,33.177
90-94,2040,46.017
90-94,2045,47.196
90-94,2050,54.315
90-94,2055,60

.289
90-94,2060,71.171
90-94,2065,75.637
90-94,2070,74.203
90-94,2075,83.426
90-94,2080,95.396
90-94,2085,103.05
90-94,2090,109.492
90-94,2095,114.724
90-94,2100,124.189
95-99,2025,7.043
95-99,2030,7.256
95-99,2035,8.18
95-99,2040,11.033
95-99,2045,15.727
95-99,2050,16.589
95-99,2055,19.629
95-99,2060,22.418
95-99,2065,27.236
95-99,2070,29.774
95-99,2075,30.1
95-99,2080,34.884
95-99,2085,41.135
95-99,2090,45.782
95-99,2095,50.227
95-99,2100,54.372
100+,2025,1.144
100+,2030,1.123
100+,2035,1.171
100+,2040,1.333
100+,2045,1.797
100+,2050,2.598
100+,2055,2.903
100+,2060,3.481
100+,2065,4.088
100+,2070,5.051
100+,2075,5.746
100+,2080,6.056
100+,2085,7.086
100+,2090,8.547
100+,2095,9.882
100+,2100,11.231
