age_Group,year,population
80-84,2015,44.194
80-84,2020,48.827
85-89,1950,6.33
85-89,1955,6.762
85-89,1960,8.065
85-89,1965,8.762
85-89,1970,8.929
85-89,1975,9.906
85-89,1980,11.675
85-89,1985,13.145
85-89,1990,14.223
85-89,1995,15.957
85-89,2000,18.184
85-89,2005,21.344
85-89,2010,25.662
85-89,2015,25.623
85-89,2020,27.095
90-94,1950,1.704
90-94,1955,1.946
90-94,1960,2.025
90-94,1965,2.307
90-94,1970,2.627
90-94,1975,2.72
90-94,1980,3.175
90-94,1985,3.87
90-94,1990,4.36
90-94,1995,4.594
90-94,2000,5.287
90-94,2005,6.245
90-94,2010,7.925
90-94,2015,10.243
90-94,2020,10.62
95-99,1950,0.257
95-99,1955,0.294
95-99,1960,0.313
95-99,1965,0.322
95-99,1970,0.39
95-99,1975,0.468
95-99,1980,0.516
95-99,1985,0.632
95-99,1990,0.781
95-99,1995,0.789
95-99,2000,0.847
95-99,2005,1.007
95-99,2010,1.26
95-99,2015,1.737
95-99,2020,2.342
100+,1950,0.011
100+,1955,0.022
100+,1960,0.024
100+,1965,0.026
100+,1970,0.03
100+,1975,0.039
100+,1980,0.049
100+,1985,0.059
100+,1990,0.071
100+,1995,0.079
100+,2000,0.078
100+,2005,0.082
100+,2010,0.099
100+,2015,0.134
100+,2020,0.2
