age_Group,year,population
75-79,2090,202.603
75-79,2095,202.244
75-79,2100,211.397
80-84,2025,66.467
80-84,2030,92.392
80-84,2035,92.68
80-84,2040,105.177
80-84,2045,115.761
80-84,2050,133.523
80-84,2055,137.627
80-84,2060,132.771
80-84,2065,144.339
80-84,2070,156.809
80-84,2075,168.146
80-84,2080,174.644
80-84,2085,175.51
80-84,2090,185.85
80-84,2095,187.314
80-84,2100,188.372
85-89,2025,31.062
85-89,2030,43.763
85-89,2035,62.508
85-89,2040,64.16
85-89,2045,74.307
85-89,2050,83.419
85-89,2055,98.011
85-89,2060,102.795
85-89,2065,100.879
85-89,2070,111.466
85-89,2075,123.069
85-89,2080,134.029
85-89,2085,141.304
85-89,2090,144.061
85-89,2095,154.734
85-89,2100,158.133
90-94,2025,11.755
90-94,2030,14.076
90-94,2035,20.538
90-94,2040,30.237
90-94,2045,31.893
90-94,2050,37.948
90-94,2055,43.705
90-94,2060,52.626
90-94,2065,56.572
90-94,2070,56.855
90-94,2075,64.359
90-94,2080,72.76
90-94,2085,81.106
90-94,2090,87.488
90-94,2095,91.289
90-94,2100,100.354
95-99,2025,2.527
95-99,2030,2.924
95-99,2035,3.636
95-99,2040,5.481
95-99,2045,8.314
95-99,2050,9.037
95-99,2055,11.07
95-99,2060,13.115
95-99,2065,16.254
95-99,2070,17.977
95-99,2075,18.602
95-99,2080,21.683
95-99,2085,25.24
95-99,2090,28.969
95-99,2095,32.209
95-99,2100,34.661
100+,2025,0.255
100+,2030,0.287
100+,2035,0.34
100+,2040,0.43
100+,2045,0.652
100+,2050,1.01
100+,2055,1.155
100+,2060,1.434
100+,2065,1.742
100+,2070,2.199
100+,2075,2.519
100+,2080,2.696
100+,2085,3.181
100+,2090,3.792
100+,2095,4.475
100+,2100,5.135
